anio,entidad,grupo_etario,sexo,ansiedad,demencia,depresion,total,trastorno_bipolar,trastorno_discapacidad_intelectual,trastorno_estres_postraumatico,trastorno_espectro_autista,deficit_atencion_hiperactividad,trastorno_psicotico,trastorno_conducta_infancia_adolescencia,entidad_etq
2024,ESTADO DE M«?XICO,15 A 19 A«?OS,MUJERES,1179,0,1427,3050,5,68,59,10,35,21,246,Estado de M«∏xico
2024,ESTADO DE M«?XICO,20 A 29 A«?OS,HOMBRES,1360,1,402,2044,13,133,39,22,4,70,0,Estado de M«∏xico
2024,ESTADO DE M«?XICO,20 A 29 A«?OS,MUJERES,4696,1,2068,7072,16,129,88,8,1,65,0,Estado de M«∏xico
2024,ESTADO DE M«?XICO,30 A 49 A«?OS,HOMBRES,2048,0,548,3007,25,166,45,6,5,164,0,Estado de M«∏xico
2024,ESTADO DE M«?XICO,30 A 49 A«?OS,MUJERES,6848,5,2861,10207,53,184,135,8,2,111,0,Estado de M«∏xico
2024,ESTADO DE M«?XICO,5 A 9 A«?OS,HOMBRES,735,0,87,2649,1,140,12,296,384,13,981,Estado de M«∏xico
2024,ESTADO DE M«?XICO,5 A 9 A«?OS,MUJERES,677,0,85,1602,0,74,15,61,154,3,533,Estado de M«∏xico
2024,ESTADO DE M«?XICO,50 A 59 A«?OS,HOMBRES,737,12,268,1155,17,58,22,1,0,40,0,Estado de M«∏xico
2024,ESTADO DE M«?XICO,50 A 59 A«?OS,MUJERES,2403,9,1316,3929,32,55,61,2,0,51,0,Estado de M«∏xico
2024,ESTADO DE M«?XICO,60 A«?OS Y M«ÅS,HOMBRES,680,91,383,1251,6,21,25,0,1,44,0,Estado de M«∏xico
2024,ESTADO DE M«?XICO,60 A«?OS Y M«ÅS,MUJERES,2023,159,1480,3811,23,25,33,1,1,66,0,Estado de M«∏xico
2024,GUANAJUATO,10 A 14 A«?OS,HOMBRES,1197,0,587,2749,3,132,42,80,232,13,463,Guanajuato
2024,GUANAJUATO,10 A 14 A«?OS,MUJERES,1924,0,1307,3836,5,117,45,21,36,11,370,Guanajuato
2024,GUANAJUATO,15 A 19 A«?OS,HOMBRES,336,0,459,1153,7,57,38,24,22,13,197,Guanajuato
2024,GUANAJUATO,15 A 19 A«?OS,MUJERES,1180,0,1673,3273,11,47,55,5,8,20,274,Guanajuato
2024,GUANAJUATO,20 A 29 A«?OS,HOMBRES,942,1,386,1546,34,59,19,22,1,82,0,Guanajuato
2024,GUANAJUATO,20 A 29 A«?OS,MUJERES,4162,0,1979,6363,69,48,55,6,0,44,0,Guanajuato
2024,GUANAJUATO,30 A 49 A«?OS,HOMBRES,1273,0,463,2028,70,41,36,3,0,142,0,Guanajuato
